TIMESTAMP: 10.800000, X: 4.257005, Y: -1.760244, Z: -6.186672, PITCH: 1.017431, YAW: 2.780661
TIMESTAMP: 10.900000, X: 4.275193, Y: -1.868297, Z: -6.104574, PITCH: 1.010845, YAW: 2.710903
TIMESTAMP: 11.000000, X: 4.292589, Y: -1.975815, Z: -6.019772, PITCH: 1.004259, YAW: 2.641738
TIMESTAMP: 11.100000, X: 4.309471, Y: -2.082412, Z: -5.932183, PITCH: 0.997672, YAW: 2.572626
TIMESTAMP: 11.200000, X: 4.326125, Y: -2.187713, Z: -5.841748, PITCH: 0.991088, YAW: 2.502296
TIMESTAMP: 11.300000, X: 4.342845, Y: -2.291350, Z: -5.748434, PITCH: 0.984505, YAW: 2.431853
TIMESTAMP: 11.400000, X: 4.359931, Y: -2.392970, Z: -5.652232, PITCH: 0.977913, YAW: 2.363911
TIMESTAMP: 11.500000, X: 4.377687, Y: -2.492235, Z: -5.553166, PITCH: 0.971321, YAW: 2.296152
TIMESTAMP: 11.600000, X: 4.396420, Y: -2.588823, Z: -5.451287, PITCH: 0.964746, YAW: 2.223399
TIMESTAMP: 11.700000, X: 4.416438, Y: -2.682432, Z: -5.346677, PITCH: 0.958172, YAW: 2.150413
TIMESTAMP: 11.800000, X: 4.438048, Y: -2.772779, Z: -5.239449, PITCH: 0.951565, YAW: 2.086991
TIMESTAMP: 11.900000, X: 4.461556, Y: -2.859606, Z: -5.129747, PITCH: 0.944959, YAW: 2.023216
TIMESTAMP: 12.000000, X: 4.487263, Y: -2.942677, Z: -5.017744, PITCH: 0.938406, YAW: 1.943750
TIMESTAMP: 12.100000, X: 4.515467, Y: -3.021782, Z: -4.903644, PITCH: 0.931805, YAW: 1.878672
TIMESTAMP: 12.200000, X: 4.546455, Y: -3.096737, Z: -4.787676, PITCH: 0.925006, YAW: 1.872819
TIMESTAMP: 12.300000, X: 4.580508, Y: -3.167385, Z: -4.670096, PITCH: 0.918081, YAW: 1.904317
TIMESTAMP: 12.400000, X: 4.617893, Y: -3.233598, Z: -4.551182, PITCH: 0.911200, YAW: 1.922352
TIMESTAMP: 12.500000, X: 4.658868, Y: -3.295274, Z: -4.431230, PITCH: 0.904382, YAW: 1.922410
TIMESTAMP: 12.600000, X: 4.703673, Y: -3.352340, Z: -4.310552, PITCH: 0.897544, YAW: 1.928502
TIMESTAMP: 12.700000, X: 4.752536, Y: -3.404750, Z: -4.189470, PITCH: 0.890670, YAW: 1.943980
TIMESTAMP: 12.800000, X: 4.805662, Y: -3.452488, Z: -4.068313, PITCH: 0.883805, YAW: 1.956361
TIMESTAMP: 12.900000, X: 4.863241, Y: -3.495562, Z: -3.947414, PITCH: 0.876966, YAW: 1.963747
TIMESTAMP: 13.000000, X: 4.925440, Y: -3.534009, Z: -3.827099, PITCH: 0.870124, YAW: 1.972769
TIMESTAMP: 13.100000, X: 4.992403, Y: -3.567892, Z: -3.707690, PITCH: 0.863256, YAW: 1.984473
TIMESTAMP: 13.200000, X: 5.064253, Y: -3.597294, Z: -3.589494, PITCH: 0.856387, YAW: 1.995309
TIMESTAMP: 13.300000, X: 5.141086, Y: -3.622327, Z: -3.472803, PITCH: 0.849554, YAW: 2.004682
TIMESTAMP: 13.400000, X: 5.222974, Y: -3.643122, Z: -3.357887, PITCH: 0.842728, YAW: 2.014512
TIMESTAMP: 13.500000, X: 5.309959, Y: -3.659831, Z: -3.244988, PITCH: 0.835839, YAW: 2.025178
TIMESTAMP: 13.600000, X: 5.402060, Y: -3.672624, Z: -3.134321, PITCH: 0.828934, YAW: 2.035617
TIMESTAMP: 13.700000, X: 5.499267, Y: -3.681690, Z: -3.026068, PITCH: 0.822146, YAW: 2.045501
TIMESTAMP: 13.800000, X: 5.601541, Y: -3.687233, Z: -2.920374, PITCH: 0.815395, YAW: 2.055475
TIMESTAMP: 13.900000, X: 5.708817, Y: -3.689468, Z: -2.817347, PITCH: 0.808338, YAW: 2.066087
TIMESTAMP: 14.000000, X: 5.821002, Y: -3.688626, Z: -2.717056, PITCH: 0.800839, YAW: 2.077267
TIMESTAMP: 14.100000, X: 5.937976, Y: -3.684943, Z: -2.619530, PITCH: 0.793176, YAW: 2.088600
TIMESTAMP: 14.200000, X: 6.059595, Y: -3.678664, Z: -2.524755, PITCH: 0.785626, YAW: 2.099819
TIMESTAMP: 14.300000, X: 6.185686, Y: -3.670041, Z: -2.432682, PITCH: 0.778151, YAW: 2.110975
TIMESTAMP: 14.400000, X: 6.316059, Y: -3.659325, Z: -2.343220, PITCH: 0.770626, YAW: 2.122177
